Movie ID,Title,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
11,Star Wars: Episode IV - A New Hope (1977),-1.521847693,-1.038507442,2.027269199,0.2479325242,-0.5945476709,2.513259965,-1.848910078,0.4767099655,-0.224146304,-0.7606806323,-0.9739150433,0.8623788058,0.4038611511,1.12961601,-0.2488058748
12,Finding Nemo (2003),-0.3421850499,-0.2965864806,-0.3859624347,2.443297473,-1.097014726,-0.6194650336,0.5728872515,0.3295163976,-0.7122275725,0.3235541669,-0.5619483743,-0.1424054045,-0.5644147279,0.5068760117,1.274992865
13,Forrest Gump (1994),-2.240887935,-0.4388153466,-2.275177308,0.614548315,0.9044694087,0.7119192013,-0.4208759822,1.302036287,-0.86841844,-0.1601217672,0.6336672657,0.1331382409,-0.3302756915,-2.209004314,-0.4190918295
14,American Beauty (1999),-0.6345314312,2.186059154,-0.06668121404,0.08619684363,0.5175578623,-0.1853185002,-0.4123521726,0.06384113478,0.07593652974,-0.5776818744,0.5268033585,-1.465556913,-0.8196822654,0.5490104187,-0.6811912738
22,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.5173475587,-1.456762641,0.3691609022,0.07390276058,-0.09833225224,-0.594722024,0.8288875702,0.03362567865,-0.7074141037,0.7178766145,1.394326353,-0.7869860437,1.42919113,0.8557464953,-2.292565987
24,Kill Bill: Vol. 1 (2003),-0.6450193026,1.997440037,2.085625363,-1.686559252,-0.04787446261,-1.046274374,1.613574544,4.630243471,0.2762882619,0.4089973566,-1.148072373,0.2698533447,0.7245431784,-0.3856813627,1.036655926
38,Eternal Sunshine of the Spotless Mind (2004),-0.6955385943,1.771798527,0.1436463416,0.244718069,0.4342222109,-0.3679945952,-0.1868409657,-0.9614351003,0.2402281824,-0.4742309928,0.4924462368,-1.04190119,-0.1816572137,0.4791419316,0.2374580512
63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-0.6156234603,1.390542324,0.7593207434,-0.408654886,-0.09937531125,-0.07353930916,-0.2618332696,-0.9237007357,0.07384904165,-0.04106690496,0.7826042223,-0.5391998344,0.2900922518,-0.2294622979,0.4320055829
77,Memento (2000),-1.443730095,1.466671174,-0.1218943218,-0.237936782,-0.3010100979,-0.6500937206,-0.0005770673241,-1.122585245,-0.2016542966,-0.6627041326,0.2478589699,-0.4299910815,-0.03226720173,0.5133814765,0.5052651985
85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),-1.241724206,0.02113020224,0.4891605295,0.4245835911,-1.262252619,1.190654175,-0.6064337493,0.3057213226,1.438861589,0.4026816649,0.4388309688,0.7849476769,-0.8743747958,-0.3999840161,-0.1976860576
98,Gladiator (2000),-1.364851946,-1.304136397,-1.941623218,-0.6610072975,0.1288769973,0.00704815952,0.3710968392,0.08602648906,-0.1338386033,0.548052807,-0.8272155854,0.1414758937,0.7359827074,-0.33809996,-0.1755651956
105,Back to the Future (1985),-1.107665975,-0.0395056841,0.1098089813,0.1691486699,-1.625466624,1.673494502,-0.5444585542,0.4206026087,1.184403866,0.3965304942,1.240446053,0.01682451926,-0.5821663989,-0.7574118215,0.1180244611
107,Snatch (2000),-0.7154995971,1.526158991,0.4132826939,-0.3573246494,0.1582288344,0.1763501536,0.1042791441,-0.6188405338,-0.3792680931,0.4251817124,0.3514524243,0.234971633,0.7906606823,-0.05253806714,-0.4414625732
114,Pretty Woman (1990),1.658680672,0.3257739493,-1.436232857,0.7269118078,1.003382811,-0.1131269653,-1.022956568,1.283947352,0.8878464734,0.3787860961,0.06186419235,-0.520710123,0.520683066,0.6625348584,-0.1624116323
120,The Lord of the Rings: The Fellowship of the Ring (2001),-2.247394999,-2.510061095,2.310821824,0.3760396524,2.677431732,-0.3544626452,1.13387255,-0.7517251281,1.444931295,1.348524055,-0.2237099739,-0.4954525848,-0.8590710091,-0.1679670654,-0.2762801228
121,The Lord of the Rings: The Two Towers (2002),-2.016728253,-2.512933282,2.296763956,0.3528008713,2.750877848,-0.3747767462,1.084938841,-0.7090927565,1.183528336,1.34840585,-0.3246423275,-0.6236751072,-0.5950914029,-0.3308205665,-0.2929282023
122,The Lord of the Rings: The Return of the King (2003),-2.271109897,-2.526300171,2.142565693,0.3419537988,2.68862435,-0.3606097564,1.14034308,-0.9329311351,1.356982355,1.331742069,-0.4542211731,-0.6205331762,-0.6387446404,-0.1720928948,-0.3149373426
134,O Brother Where Art Thou? (2000),-0.05784510324,1.394312515,0.6318946484,0.2885341352,0.2178322907,-0.1049619316,-0.5798790476,-0.4154289961,0.1802977369,-0.08777627744,-0.2206274479,0.3239209569,-0.3459607444,0.08501048803,0.2697953121
141,Donnie Darko (2001),0.05686504876,1.573001418,0.6314371532,-0.01975532997,0.3901859773,-0.07543478868,-0.443608293,-0.9873790077,0.1359488217,-0.1569045057,0.4420346168,-0.2841813712,0.6981862519,0.2609864162,0.4726729517
146,Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),-0.1298817353,0.4998667403,0.775981864,0.1640358879,0.1724285579,-0.7406404997,-0.1061841088,0.3421247914,0.150532319,0.06490234379,-0.4676095935,-0.6936384664,-1.219042039,0.4750475283,0.1950364526
153,Lost in Translation (2003),0.01902147426,1.746221512,0.3764685882,0.2996287857,0.6193880708,-0.2916166451,-0.6952078086,-0.7795136246,0.2142635716,-0.5368015241,0.3130046723,-0.6106243798,-1.060325245,1.024930564,0.2686340047
